Ref_Date,GEO,SEX,Weight_class,Weight_low,Weight_high,Weight_mid,Value
2000,Newfoundland and Labrador,Males,less than 500 grams,0,17,8.5,1
2001,Newfoundland and Labrador,Males,less than 500 grams,0,17,8.5,2
2002,Newfoundland and Labrador,Males,less than 500 grams,0,17,8.5,1
2003,Newfoundland and Labrador,Males,less than 500 grams,0,17,8.5,2
2004,Newfoundland and Labrador,Males,less than 500 grams,0,17,8.5,4
2005,Newfoundland and Labrador,Males,less than 500 grams,0,17,8.5,2
2006,Newfoundland and Labrador,Males,less than 500 grams,0,17,8.5,7
2007,Newfoundland and Labrador,Males,less than 500 grams,0,17,8.5,7
2008,Newfoundland and Labrador,Males,less than 500 grams,0,17,8.5,4
2009,Newfoundland and Labrador,Males,less than 500 grams,0,17,8.5,7
2010,Newfoundland and Labrador,Males,less than 500 grams,0,17,8.5,5
2011,Newfoundland and Labrador,Males,less than 500 grams,0,17,8.5,4
2012,Newfoundland and Labrador,Males,less than 500 grams,0,17,8.5,7
2013,Newfoundland and Labrador,Males,less than 500 grams,0,17,8.5,2
2014,Newfoundland and Labrador,Males,less than 500 grams,0,17,8.5,2
2000,Newfoundland and Labrador,Males,500 to 749 grams,500,20,260,2
2001,Newfoundland and Labrador,Males,500 to 749 grams,500,20,260,2
2002,Newfoundland and Labrador,Males,500 to 749 grams,500,20,260,3
2003,Newfoundland and Labrador,Males,500 to 749 grams,500,20,260,5
2004,Newfoundland and Labrador,Males,500 to 749 grams,500,20,260,2
2005,Newfoundland and Labrador,Males,500 to 749 grams,500,20,260,5
2006,Newfoundland and Labrador,Males,500 to 749 grams,500,20,260,1
2007,Newfoundland and Labrador,Males,500 to 749 grams,500,20,260,2
2008,Newfoundland and Labrador,Males,500 to 749 grams,500,20,260,3
2009,Newfoundland and Labrador,Males,500 to 749 grams,500,20,260,6
2010,Newfoundland and Labrador,Males,500 to 749 grams,500,20,260,6
2011,Newfoundland and Labrador,Males,500 to 749 grams,500,20,260,9
2012,Newfoundland and Labrador,Males,500 to 749 grams,500,20,260,4
2013,Newfoundland and Labrador,Males,500 to 749 grams,500,20,260,1
2014,Newfoundland and Labrador,Males,500 to 749 grams,500,20,260,3
2000,Newfoundland and Labrador,Males,750 to 999 grams,750,21,385.5,6
2001,Newfoundland and Labrador,Males,750 to 999 grams,750,21,385.5,9
2002,Newfoundland and Labrador,Males,750 to 999 grams,750,21,385.5,2
2003,Newfoundland and Labrador,Males,750 to 999 grams,750,21,385.5,3
2004,Newfoundland and Labrador,Males,750 to 999 grams,750,21,385.5,3
2005,Newfoundland and Labrador,Males,750 to 999 grams,750,21,385.5,4
2006,Newfoundland and Labrador,Males,750 to 999 grams,750,21,385.5,1
2007,Newfoundland and Labrador,Males,750 to 999 grams,750,21,385.5,3
2008,Newfoundland and Labrador,Males,750 to 999 grams,750,21,385.5,1
2009,Newfoundland and Labrador,Males,750 to 999 grams,750,21,385.5,6
2010,Newfoundland and Labrador,Males,750 to 999 grams,750,21,385.5,6
2011,Newfoundland and Labrador,Males,750 to 999 grams,750,21,385.5,2
2012,Newfoundland and Labrador,Males,750 to 999 grams,750,21,385.5,5
2013,Newfoundland and Labrador,Males,750 to 999 grams,750,21,385.5,2
2014,Newfoundland and Labrador,Males,750 to 999 grams,750,21,385.5,7
2000,Newfoundland and Labrador,Males,1000 to 1249 grams,1000,1,500.5,7
2001,Newfoundland and Labrador,Males,1000 to 1249 grams,1000,1,500.5,9
2002,Newfoundland and Labrador,Males,1000 to 1249 grams,1000,1,500.5,7
2003,Newfoundland and Labrador,Males,1000 to 1249 grams,1000,1,500.5,7
2004,Newfoundland and Labrador,Males,1000 to 1249 grams,1000,1,500.5,8
